id	текст
6143	Тем не менее, на этот раз инженеры решили оставить свои эксперименты_и создали смартфон, выполненный в привычном для всех дизайне 2018 года.
7338	Успех проекта – дело не простое,_не удивительно, что индустрия и отдельные ее участники начинают подражать успешным командам.
8011	Для индейцев островок никакой ценности не представлял_земли у них было немеряно
8311	Нельзя, например, спокойно покурить в течение рабочего дня,_собьётся график.
9401	Раскрывать не буду,_это самостоятельная тема.
9678	хороший вариант на холодное время года_— он дает ощутимое увлажнение и питание.
11962	Больше дорог_— больше пробок.
11964	Шире дороги в центр_— больше пробок в центре.
13310	Отсюда попасть к ним невозможно -_скалы стоят практически вертикально.
13327	Конечно, яркий окрас целлофана, которым на зиму накрывают солому, или спутниковые тарелки, выбиваются из общей картины -_размывают древность.
13426	Крыша рухнула внутрь храма,_завалив его.
13435	Спустя некоторое время, когда пропускной способности церкви стало недостаточно для количества подвязавшихся при монастыре,_был построен еще один храм.
13456	Под водопадом кто-то заботливо установил на двух камнях доску -_можно присесть
13473	Аккурат в тот момент, когда я достиг восточного края Парехи, солнце скрылось за горами,_погрузив всё в прохладную октябрьскую тень.
13513	воспользовавшись его предложением подвезти,_я существенно ускорил возвращение в Батуми.
13530	Остров не маленький,_есть, что посмотреть.
13548	но местные жители на пляжи перед отелями почему-то не особенно заходят._Вездесущая охрана гоняет?
13550	При этом отели чистят песок,_и пляжи выглядят ухоженно.
13568	Вода всегда была спокойная,_можно спокойно учиться осваивать падл борд.
13631	тут реку размыло,_по мосту не проехать.
13677	Но уже в 9 солнце светило нещадно,_все взмокли
13696	Раньше на вершину забирались рабы,_скрываясь от господ.
13719	Кстати, с ресторанами тоже не всегда везло._Оказалось, их нужно бронировать, причем желательно заранее!
13744	Вода очень чистая,_можно брать маску
13787	Гулять только в тапочках._Везде морские ежи и другие непонятные животные.
13789	запускать дрон с катамарана - не очень хорошая идея,_поймать его потом с дрейфующего объекта и на волнах, пусть даже очень небольших, не так просто.
13822	выспался я вроде хорошо,_потребности в кофеине не было
13838	Родившийся в местной купеческой семье Василий Андреев в конце XIX-го века организовал первый в России оркестр народных инструментов,_вызвав к последним немалый интерес в обществе.
14099	надо иметь карточку._Живых кассиров в стамбульском метро нет.
14642	Но удержать замок, как и всю Ливонию, русские войска не смогли,_и в конце концов эта местность досталась шведам.
14736	Идет молебен._Внутри снимать нельзя. 
14766	Я не большой любитель подобных музеев,_всё больше люблю изучать страну, так сказать, живьем
14972	в январе всё будет еще хуже_— большинство заводов-гигантов анонсируют новые сокращения заработной платы.
15013	Русские войска изгнали турок из Сухума, _и в течение нескольких десятилетий Абхазия жила в условиях относительного благополучия.
15035	Это административное решение, продвинутое второстепенными чиновниками Кавказского наместничества по соображениям бюрократической целесообразности,_повлекло за собой цепь трагических последствий для абхазского народа,
15105	Не умея различать, кто есть who на постсоветском пространстве,_Москва обменяла меньшее зло на большее, болтуна Гамсахурдиа — на матёрого интригана Шеварднадзе.
15395	Потом проект переехал с «Культуры» на НТВ._Это позволило, с одной стороны, расширить круг гостей, с другой – изменить тон разговора.
15668	Грузия не получила никакой военной поддержки,_она является фактически незащищенной.
15727	скапливающаяся сажа затемняет лед,_делая его более восприимчивым к таянью.
15935	После более чем 150 актов протеста против китайской опрессии за последние 12 месяцев,_заинтересованность в этой области кажется отнюдь не воображаемой.
16332	анализируя полученную после проведённых наблюдений информацию,_они обнаружили покрытие звезды ещё до её покрытия Ураном,
16500	прежде всего пользователи считают iPad дорогой игрушкой_ и покупают планшет, чтобы играть
16640	Действительно, не «Литреса» же бояться «Эксмо»,_большая часть ассортимента «главного магазина электронных книг страны» формируется книгами именно этого издательства.
16660	Основные потери у нас от Эквадора на новинках._Первые недели две идёт вал продаж.
16847	Не беспокойтесь, если появится ощущение упадка сил. Или какого-то общего тупика._ В новолуние это нормально.
16895	Меркурий повернёт с попятного движения на прямое._Начинается более удачное, чем предыдущие три недели, время для реального рывка в новом направлении.
17401	хотя скорее всего сроки будут опять перенесены,_учитывая близость апреля
