id	есть маркер?	текст
5414	нет	Кстати, аромат очень насыщенный,_первое время может надоедать своей резкостью.
5477	да	Консистенция спрея двухфазная,_поэтому перед применением нужно взболтать бутылку.
5660	нет	Широта их знаний, понимание фреймворков и языков программирования, делают их экспертами в вопросе нахождения разницы между программами работающими и программами качественными._Они умеют создавать и то и другое.
5790	нет	Откровенно говоря, «уязвимость» Zoom — это не самое страшное, что с такими сервисами происходило._В 2017 году проблема была обнаружена в браузерном расширении другого сервиса, где уязвимость позволяла выполнять в системе произвольный код.
5799	нет	это довольно распространенная практика, хотя с точки зрения безопасности явно не самая лучшая_— уж слишком много потенциальных дыр несет с собой такой веб-сервер.
5831	да	вам звонят с незнакомого номера._Соответственно, вы не знаете, кто звонит, откуда и с какой целью.
5875	нет	Другой важный момент serverless – это то, что клиентам можно давать доступ к райнтайму платформы,_это ведет к снижению задержек и увеличению надежности.
5973	нет	мы обучили модель на множестве звонков,_теперь она умеет отличать живого человека от записанного сообщения.
6044	нет	Регистрация номеров происходит в профиле internal,_на него и обратим внимание.
6143	нет	Тем не менее, на этот раз инженеры решили оставить свои эксперименты_и создали смартфон, выполненный в привычном для всех дизайне 2018 года.
7014	да	Пенится средне,_в связи с этим, приходится намыливать волосы дважды,
7338	нет	Успех проекта – дело не простое,_не удивительно, что индустрия и отдельные ее участники начинают подражать успешным командам.
7762	да	И не хотим, отчаянно не хотим повторения такого же в России._Потому что при масштабах России это будет на порядки более жестоким и кровавым.
8011	нет	Для индейцев островок никакой ценности не представлял_земли у них было немеряно
8311	нет	Нельзя, например, спокойно покурить в течение рабочего дня,_собьётся график.
8491	да	«Дождя» эти требования не коснутся,_поскольку он не получает финансирования из-за рубежа.
8584	да	Инвесторы в восторге,_ведь это увеличивает потенциальный доход на бумаги, оставшиеся в обращении.
8992	да	Вы не чувствуете страданий,_поскольку ваш фокус всегда почти вне
9133	да	Во второй раз обычно никто уже не падал,_потому что после такого тяжелого переживания следующее повторение все делали особо осторожно.
9146	да	Но она отказалась и бросила спорт._Потому что победил страх.
9309	да	вот эти две способности точно не конкурентные._Поскольку ими владеют ВСЕ!
9401	нет	Раскрывать не буду,_это самостоятельная тема.
9676	да	Сама косметика долго на этом креме не живёт,_поэтому я его перевела в вечерние.
9678	нет	хороший вариант на холодное время года_— он дает ощутимое увлажнение и питание.
9791	да	Отвергающий по определению - бессердечный негодяй и гадина,_потому что отказал нуждающемся в том, без чего он не проживет.
9983	да	Эта женщина была слишком замучена болезнями и страхом умереть,_поэтому она была готова на все.
10353	да	Люди с плохими границами вредят себе,_поэтому им особенно важно не прятать плохие границы за этикой.
10695	да	Будучи взрослым, такой человек не может признавать свою ответственность,_потому что это означает подставить себя под удар обвинений.
11222	да	Поскольку мама и папа - выпускники детского дома,_мы помогаем им наладить быт
11424	да	это приведёт к тому, что люди станут больше его использовать, легкомысленно выбрасывая,_поскольку будут уверены, что пластик быстро разложится без следа.
11483	да	такой пластик практически не деформируется,_поскольку не наносит физического ущерба экосистемам.
11522	да	Тогда это считалось нормой,_поскольку компьютеры и мобильные устройства были недоступны.
11962	нет	Больше дорог_— больше пробок.
11964	нет	Шире дороги в центр_— больше пробок в центре (и везде).
12111	да	Городские власти лопатой размахивают под камеры только перед выборами,_поэтому около Казанского не деревянная понтонная набережная, а говно десятилетиями.
12299	да	Очень сложно подобрать подходящее средство,_поэтому на полках пылятся разнообразные банки
12739	да	Деревня пока не туристическая, но у нее все впереди,_потому что она выиграла у Вальпараисо тендер на стоянки круизных судов.
12754	да	Купание в этих местах занятие экстремальное,_потому что берега Чили и Перу омывает холодное течение Гумбольта.
12778	да	Тут очень удобная бухта и расположение,_поэтому город раньше был очень богат
12843	да	Сильно затариться не имело смысла,_поскольку через границу не очень пропускают продукты соседней страны.
12921	да	Следующие 100 км до Рио-Гранде пролетели в легком волнении,_поэтому на появившийся слева по борту Атлантический океан особого внимания не обращали.
13096	да	Это обстоятельство добавляло всей затее некий налёт непредсказуемости,_поскольку в Турции я еще ни разу не брал машину в аренду.
13310	нет	Но отсюда попасть к ним невозможно_- скалы стоят практически вертикально.
14115	да	Трамваем я по Стамбулу уже ездил,_поэтому я просто включил зрительную память.
14239	да	Доломиты занимают обширный кусок на карте Италии,_поэтому я расскажу лишь об одном из мест, куда стоит отправиться
